year,month,day,hour,AEP_MW
2004,10,1,1,12379.0
2004,10,1,2,11935.0
2004,10,1,3,11692.0
2004,10,1,4,11597.0
2004,10,1,5,11681.0
2004,10,1,6,12280.0
2004,10,1,7,13692.0
2004,10,1,8,14618.0
2004,10,1,9,14903.0
2004,10,1,10,15118.0
2004,10,1,11,15242.0
2004,10,1,12,15375.0
2004,10,1,13,15404.0
2004,10,1,14,15655.0
2004,10,1,15,15739.0
2004,10,1,16,15739.0
2004,10,1,17,15644.0
2004,10,1,18,15353.0
2004,10,1,19,15034.0
2004,10,1,20,15211.0
2004,10,1,21,15349.0
2004,10,1,22,14837.0
2004,10,1,23,14067.0
2004,10,2,0,13147.0
2004,10,2,1,12260.0
2004,10,2,2,11672.0
2004,10,2,3,11352.0
2004,10,2,4,11177.0
2004,10,2,5,11142.0
2004,10,2,6,11331.0
2004,10,2,7,11866.0
2004,10,2,8,12387.0
2004,10,2,9,13144.0
2004,10,2,10,13712.0
2004,10,2,11,14082.0
2004,10,2,12,14080.0
2004,10,2,13,14056.0
2004,10,2,14,13934.0
2004,10,2,15,13758.0
2004,10,2,16,13579.0
2004,10,2,17,13620.0
2004,10,2,18,13483.0
2004,10,2,19,13379.0
2004,10,2,20,13825.0
2004,10,2,21,14056.0
2004,10,2,22,14015.0
2004,10,2,23,12940.0
2004,10,3,0,12172.0
2004,10,3,1,11443.0
2004,10,3,2,10807.0
2004,10,3,3,10600.0
2004,10,3,4,10438.0
2004,10,3,5,10430.0
2004,10,3,6,10509.0
2004,10,3,7,10795.0
2004,10,3,8,11288.0
2004,10,3,9,11965.0
2004,10,3,10,12493.0
2004,10,3,11,12722.0
2004,10,3,12,12908.0
2004,10,3,13,12997.0
2004,10,3,14,12924.0
2004,10,3,15,12759.0
2004,10,3,16,12605.0
2004,10,3,17,12755.0
2004,10,3,18,12795.0
2004,10,3,19,12979.0
2004,10,3,20,13819.0
2004,10,3,21,14237.0
2004,10,3,22,13878.0
2004,10,3,23,13132.0
2004,10,4,0,12351.0
2004,10,4,1,11817.0
2004,10,4,2,11408.0
2004,10,4,3,11261.0
2004,10,4,4,11247.0
2004,10,4,5,11414.0
2004,10,4,6,12283.0
2004,10,4,7,13862.0
2004,10,4,8,14864.0
2004,10,4,9,15046.0
2004,10,4,10,15282.0
2004,10,4,11,15511.0
2004,10,4,12,15621.0
2004,10,4,13,15662.0
2004,10,4,14,15803.0
2004,10,4,15,15747.0
2004,10,4,16,15689.0
2004,10,4,17,15617.0
2004,10,4,18,15441.0
2004,10,4,19,15368.0
2004,10,4,20,15910.0
2004,10,4,21,16133.0
2004,10,4,22,15583.0
2004,10,4,23,14497.0
2004,10,5,0,13405.0
2004,10,5,1,12532.0
2004,10,5,2,12126.0
2004,10,5,3,11926.0
2004,10,5,4,11914.0
2004,10,5,5,12010.0
2004,10,5,6,12770.0
2004,10,5,7,14393.0
2004,10,5,8,15444.0
2004,10,5,9,15547.0
2004,10,5,10,15519.0
2004,10,5,11,15542.0
2004,10,5,12,15480.0
2004,10,5,13,15423.0
2004,10,5,14,15450.0
2004,10,5,15,15259.0
2004,10,5,16,15107.0
2004,10,5,17,15101.0
2004,10,5,18,14984.0
2004,10,5,19,14976.0
2004,10,5,20,15649.0
2004,10,5,21,16007.0
2004,10,5,22,15469.0
2004,10,5,23,14520.0
2004,10,6,0,13541.0
2004,10,6,1,12764.0
2004,10,6,2,12347.0
2004,10,6,3,12192.0
2004,10,6,4,12164.0
2004,10,6,5,12356.0
2004,10,6,6,13160.0
2004,10,6,7,14677.0
2004,10,6,8,15685.0
2004,10,6,9,15616.0
2004,10,6,10,15549.0
2004,10,6,11,15396.0
2004,10,6,12,15271.0
2004,10,6,13,15137.0
2004,10,6,14,15032.0
2004,10,6,15,15114.0
2004,10,6,16,14927.0
2004,10,6,17,14979.0
2004,10,6,18,14864.0
2004,10,6,19,14765.0
2004,10,6,20,15422.0
2004,10,6,21,15706.0
2004,10,6,22,15259.0
2004,10,6,23,14272.0
2004,10,7,0,13249.0
2004,10,7,1,12484.0
2004,10,7,2,12054.0
2004,10,7,3,11745.0
2004,10,7,4,11757.0
2004,10,7,5,12041.0
2004,10,7,6,12823.0
2004,10,7,7,14394.0
2004,10,7,8,15463.0
2004,10,7,9,15488.0
2004,10,7,10,15585.0
2004,10,7,11,15597.0
2004,10,7,12,15515.0
2004,10,7,13,15508.0
2004,10,7,14,15547.0
2004,10,7,15,15522.0
2004,10,7,16,15333.0
2004,10,7,17,15266.0
2004,10,7,18,14972.0
2004,10,7,19,15042.0
2004,10,7,20,15742.0
2004,10,7,21,15893.0
2004,10,7,22,15407.0
2004,10,7,23,14359.0
2004,10,8,0,13271.0
2004,10,8,1,12468.0
2004,10,8,2,12046.0
2004,10,8,3,11749.0
2004,10,8,4,11784.0
2004,10,8,5,11919.0
2004,10,8,6,12610.0
2004,10,8,7,14209.0
2004,10,8,8,15239.0
2004,10,8,9,15297.0
2004,10,8,10,15429.0
2004,10,8,11,15545.0
2004,10,8,12,15586.0
2004,10,8,13,15626.0
2004,10,8,14,15703.0
2004,10,8,15,15651.0
2004,10,8,16,15514.0
2004,10,8,17,15369.0
2004,10,8,18,15116.0
2004,10,8,19,14930.0
2004,10,8,20,15315.0
2004,10,8,21,15270.0
2004,10,8,22,14785.0
2004,10,8,23,13977.0
2004,10,9,0,13103.0
2004,10,9,1,12214.0
2004,10,9,2,11597.0
2004,10,9,3,11273.0
2004,10,9,4,11119.0
2004,10,9,5,11064.0
2004,10,9,6,11356.0
2004,10,9,7,11733.0
2004,10,9,8,12495.0
2004,10,9,9,13063.0
2004,10,9,10,13630.0
2004,10,9,11,13840.0
2004,10,9,12,13905.0
2004,10,9,13,13818.0
2004,10,9,14,13753.0
2004,10,9,15,13579.0
2004,10,9,16,13551.0
2004,10,9,17,13509.0
2004,10,9,18,13498.0
2004,10,9,19,13557.0
2004,10,9,20,14122.0
2004,10,9,21,14094.0
2004,10,9,22,13600.0
2004,10,9,23,12956.0
2004,10,10,0,12096.0
2004,10,10,1,11269.0
2004,10,10,2,10782.0
2004,10,10,3,10580.0
2004,10,10,4,10446.0
2004,10,10,5,10426.0
2004,10,10,6,10468.0
2004,10,10,7,10862.0
2004,10,10,8,11250.0
2004,10,10,9,11823.0
2004,10,10,10,12362.0
2004,10,10,11,12682.0
2004,10,10,12,12825.0
2004,10,10,13,12931.0
2004,10,10,14,13015.0
2004,10,10,15,12967.0
2004,10,10,16,12954.0
2004,10,10,17,13031.0
