,year,month,day,hour,AEP_MW
0,2016,1,1,0,13487.0
1,2016,1,1,1,13135.0
2,2016,1,1,2,12912.0
3,2016,1,1,3,12685.0
4,2016,1,1,4,12631.0
5,2016,1,1,5,12667.0
6,2016,1,1,6,12937.0
7,2016,1,1,7,13297.0
8,2016,1,1,8,13635.0
9,2016,1,1,9,13828.0
10,2016,1,1,10,14232.0
11,2016,1,1,11,14528.0
12,2016,1,1,12,14626.0
13,2016,1,1,13,14568.0
14,2016,1,1,14,14284.0
15,2016,1,1,15,14106.0
16,2016,1,1,16,14064.0
17,2016,1,1,17,14350.0
18,2016,1,1,18,15307.0
19,2016,1,1,19,15594.0
20,2016,1,1,20,15595.0
21,2016,1,1,21,15473.0
22,2016,1,1,22,15280.0
23,2016,1,1,23,14833.0
24,2016,1,2,0,14338.0
25,2016,1,2,1,13966.0
26,2016,1,2,2,13751.0
27,2016,1,2,3,13642.0
28,2016,1,2,4,13668.0
29,2016,1,2,5,13784.0
30,2016,1,2,6,14098.0
31,2016,1,2,7,14534.0
32,2016,1,2,8,15058.0
33,2016,1,2,9,15310.0
34,2016,1,2,10,15265.0
35,2016,1,2,11,15102.0
36,2016,1,2,12,14779.0
37,2016,1,2,13,14364.0
38,2016,1,2,14,13956.0
39,2016,1,2,15,13561.0
40,2016,1,2,16,13501.0
41,2016,1,2,17,13711.0
42,2016,1,2,18,14741.0
43,2016,1,2,19,15383.0
44,2016,1,2,20,15481.0
45,2016,1,2,21,15420.0
46,2016,1,2,22,15284.0
47,2016,1,2,23,14921.0
48,2016,1,3,0,14450.0
49,2016,1,3,1,14075.0
50,2016,1,3,2,13776.0
51,2016,1,3,3,13637.0
52,2016,1,3,4,13644.0
53,2016,1,3,5,13719.0
54,2016,1,3,6,13886.0
55,2016,1,3,7,14228.0
56,2016,1,3,8,14709.0
57,2016,1,3,9,15174.0
58,2016,1,3,10,15069.0
59,2016,1,3,11,14825.0
60,2016,1,3,12,14554.0
61,2016,1,3,13,14434.0
62,2016,1,3,14,14223.0
63,2016,1,3,15,14111.0
64,2016,1,3,16,14103.0
65,2016,1,3,17,14469.0
66,2016,1,3,18,15440.0
67,2016,1,3,19,15946.0
68,2016,1,3,20,15976.0
69,2016,1,3,21,15947.0
70,2016,1,3,22,15485.0
71,2016,1,3,23,15038.0
72,2016,1,4,0,14577.0
73,2016,1,4,1,14153.0
74,2016,1,4,2,14051.0
75,2016,1,4,3,14158.0
76,2016,1,4,4,14205.0
77,2016,1,4,5,14647.0
78,2016,1,4,6,15447.0
79,2016,1,4,7,16847.0
80,2016,1,4,8,17696.0
81,2016,1,4,9,17759.0
82,2016,1,4,10,17804.0
83,2016,1,4,11,17847.0
84,2016,1,4,12,17730.0
85,2016,1,4,13,17666.0
86,2016,1,4,14,17461.0
87,2016,1,4,15,17297.0
88,2016,1,4,16,17111.0
89,2016,1,4,17,17392.0
90,2016,1,4,18,18275.0
91,2016,1,4,19,18893.0
92,2016,1,4,20,18928.0
93,2016,1,4,21,18789.0
94,2016,1,4,22,18402.0
95,2016,1,4,23,17657.0
96,2016,1,5,0,16894.0
97,2016,1,5,1,16549.0
98,2016,1,5,2,16420.0
99,2016,1,5,3,16466.0
100,2016,1,5,4,16555.0
101,2016,1,5,5,17093.0
102,2016,1,5,6,18090.0
103,2016,1,5,7,19603.0
104,2016,1,5,8,20424.0
105,2016,1,5,9,20129.0
106,2016,1,5,10,19363.0
107,2016,1,5,11,18929.0
108,2016,1,5,12,18348.0
109,2016,1,5,13,17670.0
110,2016,1,5,14,17187.0
111,2016,1,5,15,16662.0
112,2016,1,5,16,16473.0
113,2016,1,5,17,16702.0
